0,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,46000,48000,50000,52000,54000,56000,58000,60000,62000,64000,66000,68000,70000,72000,74000,76000,78000,80000,82000,84000,86000,88000,90000,92000,94000,96000,98000,100000,102000,104000,106000,108000,110000,112000,114000,116000,118000,120000
1.5,0.943537,0.96779,0.975518,0.979836,0.981634,0.982346,0.982885,0.983106,0.982894,0.98279,0.982604,0.98213,0.981816,0.981472,0.980892,0.980483,0.980061,0.979628,0.979184,0.978735,0.978285,0.977647,0.977155,0.976659,0.97598,0.975463,0.974944,0.97425,0.973717,0.973185,0.972482,0.97194,0.971399,0.970691,0.970141,0.969593,0.968881,0.968326,0.967773,0.967222,0.966681,0.966145,0.965613,0.964926,0.964373,0.96382,0.963108,0.962544,0.961981,0.961263,0.960695,0.960128,0.959408,0.958837,0.958268,0.957546,0.956973,0.957042,0.957158,0.957663
3,0.844335,0.920325,0.945483,0.958271,0.965574,0.970212,0.973537,0.975944,0.977634,0.979016,0.980099,0.980849,0.981524,0.982067,0.982404,0.982744,0.983015,0.983229,0.983392,0.983515,0.983606,0.983579,0.983597,0.983592,0.983482,0.983431,0.983365,0.983203,0.983106,0.982998,0.9828,0.982669,0.982531,0.982306,0.98215,0.981989,0.981744,0.981569,0.98139,0.981208,0.981027,0.980844,0.98066,0.980398,0.980197,0.979993,0.979711,0.979497,0.979282,0.97899,0.978767,0.978543,0.978244,0.978015,0.977785,0.97748,0.977245,0.977316,0.977408,0.977684
4.5,0.715593,0.856616,0.903505,0.927081,0.940985,0.950101,0.956618,0.961447,0.965081,0.968007,0.970367,0.972232,0.973836,0.975186,0.976266,0.97724,0.97808,0.978807,0.979439,0.979992,0.980477,0.980844,0.981207,0.981526,0.981747,0.981985,0.982193,0.982317,0.982469,0.982599,0.982654,0.982743,0.982816,0.982821,0.982862,0.982892,0.982858,0.982864,0.98286,0.982849,0.982832,0.982809,0.98278,0.982694,0.982646,0.982591,0.98248,0.982411,0.982338,0.98221,0.982126,0.982039,0.981898,0.981802,0.981704,0.981552,0.981446,0.981546,0.981659,0.981897
6,0.581305,0.789739,0.859118,0.893905,0.914586,0.928248,0.938008,0.94528,0.950835,0.955293,0.958912,0.961844,0.964344,0.966467,0.968231,0.969799,0.971165,0.972363,0.973418,0.974354,0.975189,0.975886,0.976545,0.977137,0.977622,0.978097,0.978526,0.978867,0.979215,0.979529,0.979768,0.980022,0.980252,0.980414,0.980599,0.980765,0.98087,0.981001,0.981117,0.981221,0.981315,0.981398,0.981472,0.981493,0.981541,0.98158,0.981568,0.981588,0.981601,0.981565,0.981563,0.981556,0.981501,0.981481,0.981457,0.981386,0.981351,0.981488,0.981634,0.981883
7.5,0.459366,0.728898,0.818648,0.863605,0.89041,0.908166,0.920849,0.930316,0.937587,0.943415,0.948157,0.952031,0.955326,0.958131,0.960493,0.96258,0.964406,0.966013,0.967436,0.968704,0.969838,0.970813,0.971724,0.972547,0.973248,0.973922,0.974535,0.975051,0.975558,0.976023,0.976406,0.976793,0.977148,0.977432,0.977729,0.978002,0.978211,0.978438,0.978647,0.978839,0.979016,0.979179,0.97933,0.979427,0.979547,0.979654,0.979711,0.979795,0.979869,0.979895,0.979951,0.979999,0.980001,0.980034,0.98006,0.980041,0.980054,0.980226,0.980404,0.980677
